分类: 央视, 名称: CCTV-1 综合, 有效: 7, IPv4: 19, IPv6: 0, 最小延迟: 38 ms, 最高速率: 7.99 MiB/s, 平均速率: 3.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: 睛彩篮球, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: 每经AI电视, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 广东卫视4K, 有效: 4, IPv4: 48, IPv6: 0, 最小延迟: 40 ms, 最高速率: 10.77 MiB/s, 平均速率: 7.80 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 深圳卫视4K, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 40 ms, 最高速率: 10.61 MiB/s, 平均速率: 4.55 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 北京卫视4K, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 东方卫视4K, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 204 ms, 最高速率: 0.35 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 湖南卫视4K, 有效: 9, IPv4: 20, IPv6: 0, 最小延迟: 31 ms, 最高速率: 14.87 MiB/s, 平均速率: 6.89 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 25.42, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 四川卫视4K, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 山东卫视4K, 有效: 6, IPv4: 46, IPv6: 0, 最小延迟: 27 ms, 最高速率: 11.87 MiB/s, 平均速率: 3.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 浙江卫视4K, 有效: 3, IPv4: 48, IPv6: 0, 最小延迟: 36 ms, 最高速率: 11.43 MiB/s, 平均速率: 5.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 江苏卫视4K, 有效: 6, IPv4: 36, IPv6: 0, 最小延迟: 26 ms, 最高速率: 25.39 MiB/s, 平均速率: 8.21 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 香港卫视, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: 1235 ms, 最高速率: 0.07 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视, 名称: 北京卫视, 有效: 3, IPv4: 37, IPv6: 0, 最小延迟: 38 ms, 最高速率: 11.24 MiB/s, 平均速率: 7.35 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 湖北卫视, 有效: 5, IPv4: 38, IPv6: 0, 最小延迟: 36 ms, 最高速率: 12.90 MiB/s, 平均速率: 7.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 黑龙江卫视, 有效: 3, IPv4: 36, IPv6: 0, 最小延迟: 39 ms, 最高速率: 11.59 MiB/s, 平均速率: 7.68 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 安徽卫视, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 37 ms, 最高速率: 12.49 MiB/s, 平均速率: 3.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 重庆卫视, 有效: 2, IPv4: 204, IPv6: 0, 最小延迟: 27 ms, 最高速率: 20.74 MiB/s, 平均速率: 14.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 东方卫视, 有效: 4, IPv4: 34, IPv6: 0, 最小延迟: 24 ms, 最高速率: 15.53 MiB/s, 平均速率: 11.19 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 东南卫视, 有效: 3, IPv4: 29, IPv6: 0, 最小延迟: 40 ms, 最高速率: 11.29 MiB/s, 平均速率: 7.64 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 甘肃卫视, 有效: 1, IPv4: 24, IPv6: 0, 最小延迟: 36 ms, 最高速率: 11.99 MiB/s, 平均速率: 11.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 广西卫视, 有效: 2, IPv4: 34, IPv6: 0, 最小延迟: 38 ms, 最高速率: 6.78 MiB/s, 平均速率: 4.20 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 贵州卫视, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 38 ms, 最高速率: 16.41 MiB/s, 平均速率: 11.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 海南卫视, 有效: 0, IPv4: 29, IPv6: 0, 最小延迟: 42 ms, 最高速率: 0.41 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 河北卫视, 有效: 2, IPv4: 32, IPv6: 0, 最小延迟: 37 ms, 最高速率: 10.99 MiB/s, 平均速率: 5.76 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 河南卫视, 有效: 4, IPv4: 41, IPv6: 0, 最小延迟: 27 ms, 最高速率: 30.80 MiB/s, 平均速率: 10.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 吉林卫视, 有效: 2, IPv4: 35, IPv6: 0, 最小延迟: 38 ms, 最高速率: 10.18 MiB/s, 平均速率: 10.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 江西卫视, 有效: 3, IPv4: 39, IPv6: 0, 最小延迟: 40 ms, 最高速率: 17.54 MiB/s, 平均速率: 9.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 辽宁卫视, 有效: 5, IPv4: 13, IPv6: 0, 最小延迟: 24 ms, 最高速率: 12.85 MiB/s, 平均速率: 9.68 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 内蒙古卫视, 有效: 2, IPv4: 49, IPv6: 0, 最小延迟: 25 ms, 最高速率: 9.22 MiB/s, 平均速率: 6.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 宁夏卫视, 有效: 5, IPv4: 33, IPv6: 0, 最小延迟: 39 ms, 最高速率: 12.16 MiB/s, 平均速率: 5.19 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 青海卫视, 有效: 2, IPv4: 29, IPv6: 0, 最小延迟: 36 ms, 最高速率: 18.78 MiB/s, 平均速率: 15.78 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 山西卫视, 有效: 4, IPv4: 29, IPv6: 0, 最小延迟: 26 ms, 最高速率: 36.28 MiB/s, 平均速率: 21.10 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 陕西卫视, 有效: 4, IPv4: 39, IPv6: 0, 最小延迟: 36 ms, 最高速率: 26.29 MiB/s, 平均速率: 15.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 四川卫视, 有效: 4, IPv4: 39, IPv6: 0, 最小延迟: 27 ms, 最高速率: 11.02 MiB/s, 平均速率: 5.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.57, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 三沙卫视, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 37 ms, 最高速率: 11.10 MiB/s, 平均速率: 5.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 33.75, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 天津卫视, 有效: 5, IPv4: 10, IPv6: 0, 最小延迟: 36 ms, 最高速率: 17.49 MiB/s, 平均速率: 6.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视, 名称: 西藏卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 36 ms, 最高速率: 5.02 MiB/s, 平均速率: 1.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 37.14, 视频编解码器: h264, 音频编解码器: mp2
